longitude,Z,,,,,,,,,,
182,5710.6997,,-5707.220896,-199.3005453,,5701.49069,,5696.788723,398.3582737,,5698.074868
183,5717.84,,-5710.003899,-299.248624,,5701.440481,,5686.517074,597.6770284,,5700.464136
184,5724.6997,,-5710.754619,-399.3348643,,5701.362466,,5668.987316,796.7242093,,5702.826786
185,5731.6797,,-5709.868928,-499.5488014,,5701.256668,,5644.602606,995.2957349,,5705.159869
186,5738.7397,,-5707.302283,-599.8616419,,5701.123119,,5613.334469,1193.151074,,5707.460446
187,5745.54,,-5702.713616,-700.2051873,,5700.96186,,5574.872907,1389.971928,,5709.725591
188,5752.04,,-5696.061542,-800.5292436,,5700.772939,,5529.215726,1585.477096,,5711.952399
189,5758.2397,,-5687.346214,-900.787147,,5700.556416,,5476.411389,1779.393925,,5714.137982
190,5763.98,,-5676.412192,-1000.904623,,5700.312354,,5416.369472,1971.397266,,5716.279481
191,5768.94,,-5662.948324,-1100.765646,,5700.04083,,5348.868026,2161.082961,,5718.374063
192,5773.1797,,-5647.021872,-1200.311553,,5699.741925,,5274.062091,2348.163731,,5720.418929
193,5776.98,,-5628.916377,-1299.537742,,5699.415731,,5192.31523,2532.461348,,5722.411314
194,5780.5,,-5608.794446,-1398.429518,,5699.062347,,5103.878561,2713.780369,,5724.348491
195,5783.6196,,-5586.547541,-1496.910902,,5698.68188,,5008.761499,2891.8098,,5726.227779
196,5786.2197,,-5562.071362,-1594.898298,,5698.274447,,4906.992601,3066.229286,,5728.046541
197,5788.36,,-5535.436197,-1692.352681,,5697.840171,,4798.767923,3236.809835,,5729.802187
198,5789.96,,-5506.579187,-1789.196037,,5697.379186,,4684.176037,3403.253099,,5731.492182
199,5790.76,,-5475.271147,-1885.287046,,5696.89163,,4563.181152,3565.147845,,5733.114046
200,5790.92,,-5441.684792,-1980.611288,,5696.377654,,4436.102087,3722.331625,,5734.665357
201,5790.82,,-5406.196205,-2075.24429,,5695.837413,,4303.417918,3874.814898,,5736.143757
202,5790.6597,,-5369.006181,-2169.219304,,5695.271072,,4165.451992,4022.530231,,5737.546949
203,5790.2397,,-5329.943747,-2262.426892,,5694.678803,,4022.238475,4165.14987,,5738.872707
204,5789.44,,-5288.916614,-2354.777391,,5694.060787,,3873.891498,4302.392378,,5740.118874
205,5788.48,,-5246.144499,-2446.317356,,5693.417212,,3720.763223,4434.232938,,5741.283368
206,5787.8,,-5202.040181,-2537.204523,,5692.748274,,3563.325487,4560.84864,,5742.364181
207,5787.6997,,-5156.878193,-2627.560679,,5692.054178,,3401.924528,4682.347416,,5743.359386
208,5788.56,,-5110.995118,-2717.564309,,5691.335134,,3236.921673,4798.933731,,5744.267136
209,5790.44,,-5064.432937,-2807.261017,,5690.591361,,3068.465704,4910.571618,,5745.085667
210,5792.7397,,-5016.659738,-2896.36985,,5689.823086,,2896.36985,5016.659738,,5745.813304
211,5794.36,,-4966.73592,-2984.31602,,5689.030543,,2720.287245,5116.116214,,5746.448457
212,5794.44,,-4913.96381,-3070.585381,,5688.213973,,2540.115308,5208.008174,,5746.989629
213,5792.76,,-4858.217319,-3154.963216,,5687.373625,,2356.127757,5291.949585,,5747.435414
214,5789.32,,-4799.5638,-3237.34666,,5686.509756,,2168.717443,5367.764033,,5747.7845
215,5784.02,,-4737.991807,-3317.577579,,5685.622628,,1978.251349,5435.200912,,5748.035675
216,5777.2397,,-4673.885098,-3395.776295,,5684.712511,,1785.265248,5494.481463,,5748.18782
217,5769.76,,-4607.93522,-3472.328248,,5683.779683,,1590.36139,5546.249283,,5748.239918
218,5762.02,,-4540.533722,-3547.453734,,5682.824428,,1393.958801,5590.863381,,5748.191055
219,5753.84,,-4471.573519,-3621.008839,,5681.847037,,1196.290603,5628.104791,,5748.040417
220,5744.96,,-4400.894684,-3692.789106,,5680.847807,,997.6018348,5657.681149,,5747.787293
221,5735.54,,-4328.666986,-3762.852803,,5679.827043,,798.2328875,5679.722119,,5747.43108
222,5725.92,,-4255.187819,-3831.388322,,5678.785056,,598.5216184,5694.552811,,5746.971279
223,5716.06,,-4180.46164,-3898.343546,,5677.722163,,398.7321893,5702.135965,,5746.407498
224,5705.98,,-4104.538514,-3963.706769,,5676.638688,,199.1358302,5702.504071,,5745.739452
225,5696.04,,-4027.70851,-4027.70851,,5675.534962,,1.74462E-12,5696.04,,5744.966965
226,5686.3,,-3950.035892,-4090.381907,,5674.411319,,-198.4490081,5682.83606,,5744.089971
227,5676.3,,-3871.227291,-4151.383017,,5673.268103,,-395.9586719,5662.472818,,5743.10851
228,5665.42,,-3790.90592,-4210.227557,,5672.105662,,-592.1976464,5634.384236,,5742.022735
229,5653.76,,-3709.200296,-4266.946836,,5670.92435,,-786.8513113,5598.737996,,5740.832905
230,5641.86,,-3626.517704,-4321.915502,,5669.724527,,-979.6987077,5556.147469,,5739.539391
231,5630.2397,,-3543.22465,-4375.518045,,5668.506557,,-1170.592656,5507.205454,,5738.142673
232,5619.36,,-3459.623468,-4428.116108,,5667.270813,,-1359.446223,5452.440992,,5736.643339
233,5610.1396,,-3376.266293,-4480.456701,,5666.017671,,-1546.364045,5392.812306,,5735.042086
234,5603.58,,-3293.701684,-4533.391449,,5664.747512,,-1731.601449,5329.321274,,5733.339722
235,5600.06,,-3212.062458,-4587.300597,,5663.460723,,-1915.333324,5262.335058,,5731.537159
236,5599.42,,-3131.155928,-4642.129565,,5662.157696,,-2097.579651,5191.691819,,5729.635417
237,5601.46,,-3050.773769,-4697.77964,,5660.838828,,-2278.319037,5117.188339,,5727.635623
238,5605.86,,-2970.653207,-4754.0389,,5659.504521,,-2457.447277,5038.513592,,5725.539008
239,5611.56,,-2890.16706,-4810.045738,,5658.155182,,-2634.467843,4954.713394,,5723.346908
240,5617.38,,-2808.69,-4864.793783,,5656.791221,,-2808.69,4864.793783,,5721.06076
241,5623.02,,-2726.094191,-4918.004106,,5655.413053,,-2979.746621,4768.591406,,5718.682104
242,5629.08,,-2642.692985,-4970.182636,,5654.0211,,-3147.741589,4666.718819,,5716.212577
243,5635.8,,-2558.599658,-5021.534569,,5652.615783,,-3312.640125,4559.457977,,5713.653917
244,5642.42,,-2473.474126,-5071.373503,,5651.197533,,-3473.820622,4446.287636,,5711.007957
245,5648.1396,,-2387.00694,-5118.952902,,5649.76678,,-3630.554153,4326.725955,,5708.276626
246,5653.08,,-2299.314782,-5164.345556,,5648.323961,,-3782.648848,4201.05715,,5705.461942
247,5657.86,,-2210.702023,-5208.08759,,5646.869514,,-3930.279808,4069.923883,,5702.566018
248,5662.44,,-2121.187359,-5250.122945,,5645.403884,,-4073.218459,3933.461343,,5699.591052
249,5666.26,,-2030.605978,-5289.909427,,5643.927516,,-4210.851799,3791.46799,,5696.53933
250,5669.2197,,-1938.987334,-5327.323918,,5642.440861,,-4342.874248,3644.10418,,5693.41322
251,5672.02,,-1846.629083,-5363.000271,,5640.94437,,-4469.612755,3492.044201,,5690.215174
252,5675.12,,-1753.708525,-5397.359857,,5639.438501,,-4591.268525,3335.751841,,5686.94772
253,5678.08,,-1660.109929,-5429.974909,,5637.92371,,-4707.34166,3175.142041,,5683.613463
254,5680.1797,,-1565.669713,-5460.139172,,5636.400461,,-4817.06558,3010.036647,,5680.21508
255,5681.48,,-1470.475228,-5487.888264,,5634.869217,,-4920.306011,2840.74,,5676.755322
256,5682.84,,-1374.803425,-5514.035365,,5633.330445,,-5017.649899,2667.931776,,5673.237003
257,5684.6597,,-1278.770193,-5538.96224,,5631.784613,,-5109.338294,2491.990792,,5669.663004
258,5686.44,,-1182.277355,-5562.177643,,5630.232191,,-5194.821432,2312.883517,,5666.036268
259,5687.46,,-1085.218529,-5582.965341,,5628.673654,,-5273.321085,2130.560016,,5662.359793
260,5687.9,,-987.6934698,-5601.488018,,5627.109475,,-5344.877658,1945.376373,,5658.636636
261,5688.5,,-889.8774544,-5618.465125,,5625.540132,,-5410.084993,1757.843173,,5654.869903
262,5689.76,,-791.8615429,-5634.387647,,5623.966101,,-5469.348347,1568.310402,,5651.062749
263,5691.32,,-693.5974315,-5648.897764,,5622.387863,,-5522.263473,1376.854923,,5647.218375
264,5692.48,,-595.0261866,-5661.295999,,5620.805899,,-5568.085654,1183.533142,,5643.340023
265,5692.82,,-496.1619554,-5671.157101,,5619.22069,,-5606.333273,988.5478188,,5639.430971
266,5692.5,,-397.0887268,-5678.633356,,5617.632719,,-5637.100981,792.2428772,,5635.494534
267,5691.8,,-297.8857957,-5683.999586,,5616.04247,,-5660.619724,594.9551072,,5631.534057
268,5690.92,,-198.6102438,-5687.453245,,5614.450427,,-5677.057205,396.9785116,,5627.552912
269,5690.04,,-99.30489072,-5689.173379,,5612.857075,,-5686.573781,198.5795322,,5623.554495
270,5689.4,,-1.04555E-12,-5689.4,,5611.2629,,-5689.4,2.09111E-12,,5619.542222
271,5688.8,,99.28324974,-5687.933568,,5609.668387,,-5685.334537,-198.5362568,,5615.519523
272,5687.7397,,198.4992529,-5684.274883,,5608.074022,,-5673.884652,-396.756665,,5611.489844
273,5685.8,,297.57178,-5678.007809,,5606.480291,,-5654.652593,-594.3279364,,5607.456637
274,5683.1396,,396.4357783,-5669.295758,,5604.887678,,-5627.831676,-790.9401613,,5603.423359
275,5680.26,,495.0672793,-5658.644896,,5603.29667,,-5593.964087,-986.3667977,,5599.393469
276,5677.44,,593.4540785,-5646.33839,,5601.70775,,-5553.374314,-1180.40615,,5595.370423
277,5674.46,,691.5427144,-5632.163436,,5600.121403,,-5505.904287,-1372.77612,,5591.357671
278,5671.28,,789.289624,-5616.087493,,5598.538112,,-5451.584231,-1563.216623,,5587.358653
279,5668.2397,,886.7080452,-5598.454263,,5596.95836,,-5390.816303,-1751.582395,,5583.376793
280,5665.6997,,983.8384281,-5579.624991,,5595.382627,,-5324.0162,-1937.783423,,5579.4155
281,5663.44,,1080.635297,-5559.386656,,5593.811393,,-5251.050129,-2121.561965,,5575.478159
282,5661.06,,1177.000556,-5537.352257,,5592.245137,,-5171.635648,-2302.560541,,5571.568133
283,5658.6997,,1272.930464,-5513.667593,,5590.684336,,-5086.0056,-2480.610677,,5567.688754
284,5656.98,,1368.547325,-5488.943518,,5589.129467,,-4994.816874,-2655.791241,,5563.843322
285,5655.52,,1463.756286,-5462.812829,,5587.581001,,-4897.823992,-2827.76,,5560.035102
286,5653.76,,1558.387457,-5434.742926,,5586.039411,,-4794.660404,-2996.036339,,5556.267317
287,5652.6997,,1652.689448,-5405.703607,,5584.505167,,-4686.300438,-3160.949558,,5552.543151
288,5652.1797,,1746.619583,-5375.542335,,5582.978735,,-4572.709433,-3322.267871,,5548.865739
289,5650.7197,,1839.694384,-5342.860442,,5581.460581,,-4452.827889,-3478.930427,,5545.238166
290,5648.92,,1932.044428,-5308.248439,,5579.951168,,-4327.323776,-3631.055784,,5541.663464
291,5647.4,,2023.847158,-5272.302101,,5578.450954,,-4196.836087,-3778.848186,,5538.14461
292,5645.1997,,2114.729029,-5234.138018,,5576.960398,,-4060.816825,-3921.485225,,5534.684521
293,5641.82,,2204.434695,-5193.322692,,5575.479952,,-3919.137488,-4058.385672,,5531.286049
294,5637.26,,2292.880209,-5149.893267,,5574.010069,,-3772.063202,-4189.300599,,5527.951982
295,5630.76,,2379.662003,-5103.201635,,5572.551195,,-3619.382761,-4313.412409,,5524.68504
296,5621.6597,,2464.37341,-5052.714269,,5571.103776,,-3461.039305,-4429.928297,,5521.487869
297,5610.44,,2547.086459,-4998.938644,,5569.668251,,-3297.733891,-4538.941306,,5518.363043
298,5598.1,,2628.148756,-4942.82892,,5568.245059,,-3130.417793,-4641.035235,,5515.313057
299,5584.92,,2707.622944,-4884.681095,,5566.834632,,-2959.556697,-4736.280773,,5512.340326
300,5570.46,,2785.23,-4824.159871,,5565.437401,,-2785.23,-4824.159871,,5509.447183
301,5553.96,,2860.500867,-4760.672901,,5564.053791,,-2607.426281,-4903.855613,,5506.635877
302,5534.78,,2932.986545,-4693.759642,,5562.684224,,-2426.287856,-4974.627312,,5503.908568
303,5512.7397,,3002.45323,-4623.372535,,5561.329116,,-2242.23324,-5036.138312,,5501.267328
304,5488.42,,3069.085515,-4550.106394,,5559.988881,,-2055.998319,-5088.774411,,5498.714136
305,5463.2197,,3133.574087,-4475.207586,,5558.663926,,-1868.531185,-5133.747238,,5496.250879
306,5438.84,,3196.869942,-4400.11399,,5557.354656,,-1680.69399,-5172.644223,,5493.879347
307,5416.98,,3260.019944,-4326.192585,,5556.061469,,-1493.122044,-5207.135382,,5491.601233
308,5398.6797,,3323.759109,-4254.217659,,5554.784759,,-1306.058827,-5238.31584,,5489.418131
309,5384.04,,3388.286158,-4184.184942,,5553.524915,,-1119.40486,-5266.385808,,5487.331534
310,5372.52,,3453.389289,-4115.589092,,5552.28232,,-932.9283075,-5290.899349,,5485.342834
311,5363.56,,3518.811966,-4047.930116,,5551.057354,,-746.4632774,-5311.362203,,5483.453317
312,5356.6597,,3584.304953,-3980.773938,,5549.850389,,-559.9234067,-5327.315358,,5481.664166
313,5350.88,,3649.291385,-3913.385895,,5548.661793,,-373.2585202,-5337.845525,,5479.976459
314,5344.98,,3712.935097,-3844.856846,,5547.491928,,-186.5371119,-5341.723983,,5478.391165
315,5338.08,,3774.592567,-3774.592567,,5546.341151,,-2.28898E-12,-5338.08,,5476.909148
316,5330.06,,3834.124296,-3702.570794,,5545.209812,,186.0164114,-5326.813071,,5475.53116
317,5321.38,,3891.810961,-3629.172433,,5544.098255,,371.2007043,-5308.417386,,5474.257848
318,5312.96,,3948.298732,-3555.064146,,5543.006819,,555.3555442,-5283.855049,,5473.089747
319,5306.06,,4004.534315,-3481.088571,,5541.935837,,738.4608241,-5254.421789,,5472.027282
320,5302.32,,4061.812772,-3408.265599,,5540.885635,,920.7382054,-5221.765845,,5471.070771
321,5303.96,,4121.951094,-3337.890181,,5539.856533,,1102.755292,-5188.055748,,5470.220417
322,5314.32,,4187.741308,-3271.822092,,5538.848844,,1285.650368,-5156.461984,,5469.476318
323,5336.44,,4261.870481,-3211.549762,,5537.862875,,1470.922211,-5129.715365,,5468.838459
324,5369.6,,4344.097653,-3156.171691,,5536.898926,,1659.297653,-5106.79307,,5468.306716
325,5407.1597,,4429.285922,-3101.419392,,5535.957292,,1849.357536,-5081.06807,,5467.880856
326,5439.98,,4509.947814,-3041.998211,,5535.038258,,2037.852376,-5043.861625,,5467.560537
327,5463.42,,4582.009554,-2975.591797,,5534.142106,,2222.173111,-4991.082524,,5467.345311
328,5479.92,,4647.235723,-2903.915174,,5533.269107,,2402.238815,-4925.31947,,5467.23462
329,5494.48,,4709.68859,-2829.866402,,5532.419529,,2579.502112,-4851.33789,,5467.227802
330,5509.2397,,4771.141536,-2754.61985,,5531.593629,,2754.61985,-4771.141536,,5467.324089
331,5522.6597,,4830.227009,-2677.438552,,5530.791659,,2926.563765,-4683.481044,,5467.522608
332,5532.44,,4884.854581,-2597.323253,,5530.013863,,3093.701187,-4586.600628,,5467.822386
333,5537.96,,4934.358491,-2514.181228,,5529.260479,,3255.131216,-4480.303754,,5468.222346
334,5539.82,,4979.157234,-2428.497246,,5528.531736,,3410.653754,-4365.437733,,5468.721312
335,5538.6997,,5019.766668,-2340.75564,,5527.827856,,3560.207541,-4242.890127,,5469.31801
336,5535.1797,,5056.638272,-2251.36041,,5527.149053,,3703.758149,-4113.440152,,5470.011072
337,5529.5,,5089.931587,-2160.547775,,5526.495534,,3841.113459,-3977.589426,,5470.799031
338,5521,,5118.982061,-2068.203002,,5525.867498,,3971.475038,-3835.208863,,5471.680331
339,5508.26,,5142.40372,-1973.983842,,5525.265137,,4093.434916,-3685.745354,,5472.653324
340,5490.28,,5159.175602,-1877.786352,,5524.688634,,4205.798485,-3529.083958,,5473.716274
341,5467.6997,,5169.811632,-1780.1089,,5524.138164,,4308.606161,-3366.252064,,5474.86736
342,5442.36,,5175.991942,-1681.78173,,5523.613895,,4402.96173,-3198.938946,,5476.104676
343,5416.34,,5179.671702,-1583.584559,,5523.115987,,4490.349366,-3028.778891,,5477.426235
344,5391.88,,5183.007713,-1486.203546,,5522.644592,,4572.573569,-2857.261082,,5478.829973
345,5371.6396,,5188.605419,-1390.282632,,5522.199853,,4651.976354,-2685.8198,,5480.313749
346,5357.78,,5198.631036,-1296.164294,,5521.781906,,4730.638954,-2515.32535,,5481.875347
347,5350.46,,5213.328057,-1203.591618,,5521.390877,,4808.961593,-2345.487286,,5483.512485
348,5347.7397,,5230.878757,-1111.857603,,5521.026887,,4885.403312,-2175.121694,,5485.22281
349,5347.6,,5249.349526,-1020.370184,,5520.690045,,4958.208381,-2003.246219,,5487.003906
350,5349.54,,5268.268467,-928.9378724,,5520.380455,,5026.923263,-1829.650438,,5488.853294
351,5354.36,,5288.438943,-837.6064422,,5520.098211,,5092.298969,-1654.588234,,5490.768439
352,5362.76,,5310.569988,-746.3519389,,5519.843398,,5155.015773,-1478.176986,,5492.74675
353,5374.6597,,5334.597802,-655.0062487,,5519.616096,,5215.009337,-1300.247863,,5494.785584
354,5389.32,,5359.796741,-563.3373377,,5519.416371,,5271.550428,-1120.502634,,5496.882248
355,5405.84,,5385.269147,-471.1500004,,5519.244286,,5323.713144,-938.7142648,,5499.034006
356,5423.44,,5410.228773,-378.32005,,5519.099894,,5370.659455,-754.7969627,,5501.238079
357,5441.58,,5434.122504,-284.7902928,,5518.983237,,5411.770455,-568.7999951,,5503.49165
358,5459.94,,5456.613952,-190.549158,,5518.894351,,5446.639861,-380.8661613,,5505.791866
359,5478.28,,5477.445631,-95.60916914,,5518.833264,,5474.94278,-191.1892148,,5508.135845
,,,,,,,,,,,
a0,5610.153814,,,,,,,,,,
a1,-91.35381954,,,,,,,,,,
b1,-1.109086447,,,,,,,,,,
a2,-8.279321259,,,,,,,,,,
b2,69.43200361,,,,,,,,,,
